T,k
673,3.85E-2
773,3.57E-2
873,3.43E-2
973,3.35E-2
1073,3.19E-2
1173,2.99E-2
1273,2.79E-2
1373,2.61E-2
1473,2.45E-2
1573,2.32E-2
1673,2.22E-2
1773,2.14E-2
1873,2.09E-2
1973,2.06E-2
2073,2.06E-2
2173,2.08E-2
2273,2.12E-2
2373,2.18E-2
2473,2.26E-2
2573,2.35E-2
2673,2.45E-2
2773,2.56E-2
2873,2.68E-2
2973,2.80E-2
3073,2.93E-2
